Issue ID,Type,File,Line,Component
41248,Logically dead code,/src/tariff/tariff.service.ts,2743,Other
41249,Logically dead code,/src/balancing/balancing.service.ts,5132,Other
41295,Logically dead code,/src/balancing/balancing.service.ts,9390,Other
41303,Logically dead code,/src/balancing/balancing.service.ts,3993,Other
41376,Logically dead code,/src/balancing/balancing.service.ts,5133,Other
41429,Logically dead code,/src/export-files/export-files.service.ts,15392,Other
41436,Logically dead code,/sro/balancing/balancing.service.ts,9536,Other
41443,Logically dead code,/src/astos/astos.service.ts,361,Other
41463,Logically dead code,/src/balancing/balancing.service.ts,5157,Other
41505,Logically dead code,/src/export-files/export-files.service.ts,11309,Other
41522,Logically dead code,/src/export-files/export-file-tariff-commodity-a2.service.ts,106,Other
41548,Logically dead code,/src/balancing/balancing.service.ts,5156,Other
41568,Logically dead code,/src/capacity-v2/capacity-v2.service.ts,949,Other
41593,Logically dead code,/src/capacity-v2/capacity-v2.service.ts,1177,Other
41681,Logically dead code,/src/export-files/export-file-tariff-commodity-a2.service.ts,104,Other
41704,Logically dead code,/src/balancing/balancing.service.ts,8832,Other
51983,Logically dead code,/src/allocation/allocation.service.ts,7956-,Other
51990,Logically dead code,/src/allocation/allocation.service.ts,7960,Other